ds,category,units,revenue,store_id,product_type
2023-04-17 18:44:21.880189,Casual,64,160000,PK-01,Apparel
2023-04-17 18:44:21.880189,Formal,40,100000,PK-01,Apparel
2023-04-17 18:44:21.880189,Graphic,32,80000,PK-01,Apparel
2023-04-17 18:44:21.880189,Streetwear,30,75000,PK-01,Apparel
2023-04-17 18:44:21.880189,Sports,33,82500,PK-01,Apparel
2023-04-18 18:44:21.880189,Casual,52,130000,PK-01,Apparel
2023-04-18 18:44:21.880189,Formal,40,100000,PK-01,Apparel
2023-04-18 18:44:21.880189,Graphic,40,100000,PK-01,Apparel
2023-04-18 18:44:21.880189,Streetwear,37,92500,PK-01,Apparel
2023-04-18 18:44:21.880189,Sports,36,90000,PK-01,Apparel
2023-04-19 18:44:21.880189,Casual,50,125000,PK-01,Apparel
2023-04-19 18:44:21.880189,Formal,41,102500,PK-01,Apparel
2023-04-19 18:44:21.880189,Graphic,39,97500,PK-01,Apparel
2023-04-19 18:44:21.880189,Streetwear,44,110000,PK-01,Apparel
2023-04-19 18:44:21.880189,Sports,39,97500,PK-01,Apparel
2023-04-20 18:44:21.880189,Casual,65,162500,PK-01,Apparel
2023-04-20 18:44:21.880189,Formal,36,90000,PK-01,Apparel
2023-04-20 18:44:21.880189,Graphic,33,82500,PK-01,Apparel
2023-04-20 18:44:21.880189,Streetwear,40,100000,PK-01,Apparel
2023-04-20 18:44:21.880189,Sports,41,102500,PK-01,Apparel
2023-04-21 18:44:21.880189,Casual,73,182500,PK-01,Apparel
2023-04-21 18:44:21.880189,Formal,40,100000,PK-01,Apparel
2023-04-21 18:44:21.880189,Graphic,57,142500,PK-01,Apparel
2023-04-21 18:44:21.880189,Streetwear,43,107500,PK-01,Apparel
2023-04-21 18:44:21.880189,Sports,44,110000,PK-01,Apparel
2023-04-22 18:44:21.880189,Casual,89,222500,PK-01,Apparel
2023-04-22 18:44:21.880189,Formal,54,135000,PK-01,Apparel
2023-04-22 18:44:21.880189,Graphic,49,122500,PK-01,Apparel
2023-04-22 18:44:21.880189,Streetwear,46,115000,PK-01,Apparel
2023-04-22 18:44:21.880189,Sports,46,115000,PK-01,Apparel
2023-04-23 18:44:21.880189,Casual,74,185000,PK-01,Apparel
2023-04-23 18:44:21.880189,Formal,53,132500,PK-01,Apparel
2023-04-23 18:44:21.880189,Graphic,43,107500,PK-01,Apparel
2023-04-23 18:44:21.880189,Streetwear,47,117500,PK-01,Apparel
2023-04-23 18:44:21.880189,Sports,56,140000,PK-01,Apparel
2023-04-24 18:44:21.880189,Casual,57,142500,PK-01,Apparel
2023-04-24 18:44:21.880189,Formal,41,102500,PK-01,Apparel
2023-04-24 18:44:21.880189,Graphic,41,102500,PK-01,Apparel
2023-04-24 18:44:21.880189,Streetwear,36,90000,PK-01,Apparel
2023-04-24 18:44:21.880189,Sports,33,82500,PK-01,Apparel
2023-04-25 18:44:21.880189,Casual,60,150000,PK-01,Apparel
2023-04-25 18:44:21.880189,Formal,30,75000,PK-01,Apparel
2023-04-25 18:44:21.880189,Graphic,38,95000,PK-01,Apparel
2023-04-25 18:44:21.880189,Streetwear,42,105000,PK-01,Apparel
2023-04-25 18:44:21.880189,Sports,43,107500,PK-01,Apparel
2023-04-26 18:44:21.880189,Casual,55,137500,PK-01,Apparel
2023-04-26 18:44:21.880189,Formal,37,92500,PK-01,Apparel
2023-04-26 18:44:21.880189,Graphic,43,107500,PK-01,Apparel
2023-04-26 18:44:21.880189,Streetwear,33,82500,PK-01,Apparel
2023-04-26 18:44:21.880189,Sports,43,107500,PK-01,Apparel
2023-04-27 18:44:21.880189,Casual,50,125000,PK-01,Apparel
2023-04-27 18:44:21.880189,Formal,38,95000,PK-01,Apparel
2023-04-27 18:44:21.880189,Graphic,37,92500,PK-01,Apparel
2023-04-27 18:44:21.880189,Streetwear,43,107500,PK-01,Apparel
2023-04-27 18:44:21.880189,Sports,33,82500,PK-01,Apparel
2023-04-28 18:44:21.880189,Casual,67,167500,PK-01,Apparel
2023-04-28 18:44:21.880189,Formal,56,140000,PK-01,Apparel
2023-04-28 18:44:21.880189,Graphic,56,140000,PK-01,Apparel
2023-04-28 18:44:21.880189,Streetwear,42,105000,PK-01,Apparel
2023-04-28 18:44:21.880189,Sports,58,145000,PK-01,Apparel
2023-04-29 18:44:21.880189,Casual,76,190000,PK-01,Apparel
2023-04-29 18:44:21.880189,Formal,45,112500,PK-01,Apparel
2023-04-29 18:44:21.880189,Graphic,55,137500,PK-01,Apparel
2023-04-29 18:44:21.880189,Streetwear,56,140000,PK-01,Apparel
2023-04-29 18:44:21.880189,Sports,52,130000,PK-01,Apparel
2023-04-30 18:44:21.880189,Casual,66,165000,PK-01,Apparel
2023-04-30 18:44:21.880189,Formal,49,122500,PK-01,Apparel
